,Разделы,,Вопросы,Ответы,,
,,,Метрики классификации,"Accuracy, ",,
,,,Ошибки 1/2 рода,F1,,
,,,AUC,"ROC-AUC, PR-Curve",,
,,,Метрики регрессии,"R^2, MAE",,
,,сross-validation,В чем суть,"Разбиваем тренировочный датасет на много маленьких, считаем на них метрики. По разбросу ошибки оцениваем модель",,
,,,Зачем нужна,Что бы оценить правильность подбора гиперпараметров.,,
,,доверительный интервал,,Интервал в который попадают большинство значений ошибки (например 95%) на проверочном датасете. Его ширина указывает на стабильность пердсказанй (variance). Используется в задачах регресии.,,
,,bias-variance traid-off,,,,
,,,,,,
,,стратификация,,,,
,,нормировка,,"Приводим данные к одному масштабу [-1..1] [0..1]. Например вычитаем min, делим на новый max. Чаше вычитаем mean делим на std (нрмализация)",,
,,,Зачем,1. Веса в одном масштабе 2. Лучше работает град спуск 3. Меньше двигать bias 4. Небольшие изменения весов не сильно двигают решение(Устойчивость) 5. Начальная инициализация весов в большинстве моделей предполагает что входы стандартизованы 6. Большинство функций активации работают вокруг нуля,,
,,,Способы,"Pytorch: transforms.Normalize, sklearn.preprocessing.StandardScaler",,sklearn.preprocessing.StandardScaler — scikit-learn 1.4.2 documentation
,,Регуляризация,Что это?,Способы сделать модель более простой что бы избежать переобучения. 1) Штраф на веса 2) Аугментация данных 3) Ансамбли/dropout 4) Early Stopping,,
,,штраф на веса,,L1 зануляет часть весов L2 - уменьшает значения весов,,
,,,,,,
,,,,,,
,,SVM,Идея,"Строим задачу линейной классификации, но ищем веса не градиентным спуском, а при помощи решения задачи оптимизации. Результат выражается чере скалярное произведение элементов из датасета, что позволяет применить нелинейность (kernel)",,
,,,ядра,,,
,,,,,,
,Древесные модели,,,,,
,,деревья решений,,,,
,,random forest,,,,
,,"RSM,Bootstrap",,,,
,,bagging,,,,
,,Блендинг и Стэкинг,,,,
,,boosting,,,,
,,,,,,
,DL,,,,,
,,MLP,,,,
,,MLP in Pytorch,,,,
,,Backpropagation,,,,
,,Softmax & Losses,,,,
,,Optimizers,,,,
,,Dropout,,,,
,,Batch & Layer Norm,,,,
,CNN,,,,,
,,Свертки,,,,
,,Архитектуры,,,,
,,TransferLearning,,,,
,,OCR,,,,
,,"CVAT, WanDB, TB",,,,
,,GAP,,,,
,,балансировка данных,,,,
,Transformers(ViT),,,,,
,,ViT,,,,
,,self-attention,,,,
,,,,,,
,Metric Leaning,,,,,
,,Embeddings,,,,
,,"PML: ArcFace, TripletLoss",,,,
,,CLIP,,,,
,,Autoencoders,,,,
,,HEM,,,,
,,"ANN: faiss, hsnw, LHS",,,,
,Segmentation,,,,,
,,,,,,
,Метрики,IoU & Dice,,,,
,,mAP,,,,
,Модели,SMP,,,,
,,"Unet, FCN",,,,
,,DeepLab,,,,
,,SWIN,,,,
,,SAM,,,,
,Detection,,,,,
,,YOLO,,,,
,,multi-head networks,,,,
,,R-CNN,,,,
,,DETR,,,,
,,OWL-ViT,,,,
,Защита работ,,,,,
,,,,,,
,,,,,,
,,Часть 2,,,,
,,,,,,
,,,,,,
,LoRA,,,,,
,,,,,,
,Docker,,,,,
,GRPC,,,,,
,ONNX ,,,,,
,TensorRT,,,,,
,Подбор гиперпараметров Optuna,,,,,
,Multi GPU,,,,,
,Triton Inference Server,,,,,
,RayServe,,,,,
